sentence_id	article_id	topic_id	topic	title	publication	url	sentence
0	19	3	Synagogue shooting	The Pittsburgh Synagogue Shooting and the Escalating Crisis of Hate-Fuelled Violence in the Trump Era	The New Yorker	https://www.newyorker.com/news/current/the-pittsburgh-synagogue-shooting-and-the-escalating-crisis-of-hate-fuelled-violence-in-the-trump-era	Robert Bowers, who opened fire at the Tree of Life Synagogue, in Pittsburgh, this morning, killing at least eleven people, was not evasive about his intent.
1	19	3	Synagogue shooting	The Pittsburgh Synagogue Shooting and the Escalating Crisis of Hate-Fuelled Violence in the Trump Era	The New Yorker	https://www.newyorker.com/news/current/the-pittsburgh-synagogue-shooting-and-the-escalating-crisis-of-hate-fuelled-violence-in-the-trump-era	He reportedly made anti-Semitic statements during the shooting, and just beforehand posted on Gab, a right-wing social network, about hias, a Jewish nonprofit that supports refugees.
2	19	3	Synagogue shooting	The Pittsburgh Synagogue Shooting and the Escalating Crisis of Hate-Fuelled Violence in the Trump Era	The New Yorker	https://www.newyorker.com/news/current/the-pittsburgh-synagogue-shooting-and-the-escalating-crisis-of-hate-fuelled-violence-in-the-trump-era	Earlier, he had suggested that he supported far-right nationalism but believed that President Trump was captive to a Jewish conspiracy.
3	19	3	Synagogue shooting	The Pittsburgh Synagogue Shooting and the Escalating Crisis of Hate-Fuelled Violence in the Trump Era	The New Yorker	https://www.newyorker.com/news/current/the-pittsburgh-synagogue-shooting-and-the-escalating-crisis-of-hate-fuelled-violence-in-the-trump-era	It has been marked, too, by mass murders in houses of worship-in recent years, the massacre of twenty-six people at a Baptist church in Sutherland Springs, Texas, last November, and the murder of nine African-American worshippers at Emanuel AME Church, in Charleston, South Carolina, by the white supremacist Dylann Roof.
4	19	3	Synagogue shooting	The Pittsburgh Synagogue Shooting and the Escalating Crisis of Hate-Fuelled Violence in the Trump Era	The New Yorker	https://www.newyorker.com/news/current/the-pittsburgh-synagogue-shooting-and-the-escalating-crisis-of-hate-fuelled-violence-in-the-trump-era	The Tree of Life shooting, however, was the second attempted hate-fuelled massacre in a house of worship within seventy-two hours.
5	19	3	Synagogue shooting	The Pittsburgh Synagogue Shooting and the Escalating Crisis of Hate-Fuelled Violence in the Trump Era	The New Yorker	https://www.newyorker.com/news/current/the-pittsburgh-synagogue-shooting-and-the-escalating-crisis-of-hate-fuelled-violence-in-the-trump-era	On Wednesday afternoon, a man named Gregory Bush allegedly shot and killed two African-American customers at a Kroger's supermarket in Jeffersontown, Kentucky, reportedly saying afterward, "Whites don't kill whites."
6	19	3	Synagogue shooting	The Pittsburgh Synagogue Shooting and the Escalating Crisis of Hate-Fuelled Violence in the Trump Era	The New Yorker	https://www.newyorker.com/news/current/the-pittsburgh-synagogue-shooting-and-the-escalating-crisis-of-hate-fuelled-violence-in-the-trump-era	Ten to fifteen minutes before, he had tried the predominantly black First Baptist Church, where he spent several minutes rattling the locked doors.
7	19	3	Synagogue shooting	The Pittsburgh Synagogue Shooting and the Escalating Crisis of Hate-Fuelled Violence in the Trump Era	The New Yorker	https://www.newyorker.com/news/current/the-pittsburgh-synagogue-shooting-and-the-escalating-crisis-of-hate-fuelled-violence-in-the-trump-era	But the massacres in Pittsburgh and Jeffersontown-and the pipe bombs sent to a dozen Democratic leaders this week, allegedly by the Trump supporter Cesar Sayoc-share some obvious common causes.
8	19	3	Synagogue shooting	The Pittsburgh Synagogue Shooting and the Escalating Crisis of Hate-Fuelled Violence in the Trump Era	The New Yorker	https://www.newyorker.com/news/current/the-pittsburgh-synagogue-shooting-and-the-escalating-crisis-of-hate-fuelled-violence-in-the-trump-era	They are the toxic politics of the President, and the racist, nationalist fervor that has been inflamed by his rise, and the success and the militancy of the gun lobby, which for decades has refused to acknowledge the obvious: that one way to have fewer killings is to make it harder for Americans to possess guns.
9	19	3	Synagogue shooting	The Pittsburgh Synagogue Shooting and the Escalating Crisis of Hate-Fuelled Violence in the Trump Era	The New Yorker	https://www.newyorker.com/news/current/the-pittsburgh-synagogue-shooting-and-the-escalating-crisis-of-hate-fuelled-violence-in-the-trump-era	Trump, asked about the Pittsburgh shooting, said, "If they had protection inside, the results would have been far better."
10	20	3	Synagogue shooting	11 Killed in Synagogue Massacre Suspect Charged With 29 Counts	The New York Times	https://www.nytimes.com/2018/10/27/us/active-shooter-pittsburgh-synagogue-shooting.html	Armed with an AR-15-style assault rifle and at least three handguns, a man shouting anti-Semitic slurs opened fire inside a Pittsburgh synagogue Saturday morning, killing at least 11 congregants and wounding four police officers and two others, the authorities said.
11	20	3	Synagogue shooting	11 Killed in Synagogue Massacre Suspect Charged With 29 Counts	The New York Times	https://www.nytimes.com/2018/10/27/us/active-shooter-pittsburgh-synagogue-shooting.html	The assailant, identified by law enforcement officials as Robert D Bowers, fired for several minutes and was leaving the synagogue when officers, dressed in tactical gear and armed with rifles, met him at the door.
12	20	3	Synagogue shooting	11 Killed in Synagogue Massacre Suspect Charged With 29 Counts	The New York Times	https://www.nytimes.com/2018/10/27/us/active-shooter-pittsburgh-synagogue-shooting.html	He also faces state charges, including 11 counts of criminal homicide, six counts of aggravated assault and 13 counts of ethnic intimidation.
13	20	3	Synagogue shooting	11 Killed in Synagogue Massacre Suspect Charged With 29 Counts	The New York Times	https://www.nytimes.com/2018/10/27/us/active-shooter-pittsburgh-synagogue-shooting.html	Pittsburgh residents embraced near Tree of Life Congregation after the shooting.Calling it the "most horrific crime scene" he had seen in 22 years with the FBI, Robert Jones, special agent in charge in Pittsburgh, said the synagogue was in the midst of a "peaceful service" when congregants were gunned down and "brutally murdered by a gunman targeting them simply because of their faith."
14	20	3	Synagogue shooting	11 Killed in Synagogue Massacre Suspect Charged With 29 Counts	The New York Times	https://www.nytimes.com/2018/10/27/us/active-shooter-pittsburgh-synagogue-shooting.html	Last November, a gunman killed 26 worshipers at a church in Sutherland Springs, Tex., and in 2015, a white supremacist killed nine congregants in a church in Charleston, SC It came amid rising anxiety about illegal immigration and in a decade that has seen an uptick in hate crimes.
15	20	3	Synagogue shooting	11 Killed in Synagogue Massacre Suspect Charged With 29 Counts	The New York Times	https://www.nytimes.com/2018/10/27/us/active-shooter-pittsburgh-synagogue-shooting.html	Police dispatchers received the first emergency calls at 9:54 am, Mr Jones of the FBI said, and police officers, including a SWAT team, were dispatched a minute later.
16	20	3	Synagogue shooting	11 Killed in Synagogue Massacre Suspect Charged With 29 Counts	The New York Times	https://www.nytimes.com/2018/10/27/us/active-shooter-pittsburgh-synagogue-shooting.html	Mr Bowers had already shot and killed 11 people and was on his way out of the synagogue, Mr Jones said, when he encountered police officers and shot at them.
17	20	3	Synagogue shooting	11 Killed in Synagogue Massacre Suspect Charged With 29 Counts	The New York Times	https://www.nytimes.com/2018/10/27/us/active-shooter-pittsburgh-synagogue-shooting.html	He went back into the synagogue to hide from SWAT officers who were moving in, Mr Jones said.
18	20	3	Synagogue shooting	11 Killed in Synagogue Massacre Suspect Charged With 29 Counts	The New York Times	https://www.nytimes.com/2018/10/27/us/active-shooter-pittsburgh-synagogue-shooting.html	Ben Opie, 55, who can see the synagogue from his backyard, said his wife was about to leave their house to do some volunteer work when SWAT officers approached their home and said there was a gunman in the synagogue.
19	20	3	Synagogue shooting	11 Killed in Synagogue Massacre Suspect Charged With 29 Counts	The New York Times	https://www.nytimes.com/2018/10/27/us/active-shooter-pittsburgh-synagogue-shooting.html	Representative Mike Doyle, who represents Pennsylvania's 14th District, where the synagogue is, said that Mr Bowers had 21 guns registered to his name.
